xintercept	key	showSelected1	showSelected2	PANEL
3.5	3	58	3	1
4.5	4	58	4	1
5.5	5	58	5	1
6.5	6	58	6	1
7.5	7	58	7	1
8.5	8	58	8	1
9.5	9	58	9	1
10.5	10	58	10	1
11.5	11	58	11	1
12.5	12	58	12	1
13.5	13	58	13	1
14.5	14	58	14	1
15.5	15	58	15	1
16.5	16	58	16	1
17.5	17	58	17	1
18.5	18	58	18	1
19.5	19	58	19	1
20.5	20	58	20	1
21.5	21	58	21	1
22.5	22	58	22	1
23.5	23	58	23	1
24.5	24	58	24	1
25.5	25	58	25	1
26.5	26	58	26	1
27.5	27	58	27	1
28.5	28	58	28	1
29.5	29	58	29	1
30.5	30	58	30	1
31.5	31	58	31	1
32.5	32	58	32	1
33.5	33	58	33	1
34.5	34	58	34	1
35.5	35	58	35	1
36.5	36	58	36	1
37.5	37	58	37	1
38.5	38	58	38	1
39.5	39	58	39	1
40.5	40	58	40	1
41.5	41	58	41	1
42.5	42	58	42	1
43.5	43	58	43	1
44.5	44	58	44	1
45.5	45	58	45	1
46.5	46	58	46	1
47.5	47	58	47	1
48.5	48	58	48	1
49.5	49	58	49	1
50.5	50	58	50	1
51.5	51	58	51	1
52.5	52	58	52	1
53.5	53	58	53	1
54.5	54	58	54	1
55.5	55	58	55	1
56.5	56	58	56	1
57.5	57	58	57	1
0.5	0	59	0	1
1.5	1	59	1	1
2.5	2	59	2	1
3.5	3	59	3	1
4.5	4	59	4	1
5.5	5	59	5	1
6.5	6	59	6	1
7.5	7	59	7	1
8.5	8	59	8	1
9.5	9	59	9	1
10.5	10	59	10	1
11.5	11	59	11	1
12.5	12	59	12	1
13.5	13	59	13	1
14.5	14	59	14	1
15.5	15	59	15	1
16.5	16	59	16	1
17.5	17	59	17	1
18.5	18	59	18	1
19.5	19	59	19	1
20.5	20	59	20	1
21.5	21	59	21	1
22.5	22	59	22	1
23.5	23	59	23	1
24.5	24	59	24	1
25.5	25	59	25	1
26.5	26	59	26	1
27.5	27	59	27	1
28.5	28	59	28	1
29.5	29	59	29	1
30.5	30	59	30	1
31.5	31	59	31	1
